loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,dti
5000,5000,4975.0,36,10.65,162.87,B,B2,10,RENT,24000.0,Verified,Dec-11,Fully Paid,credit_card,27.65
2500,2500,2500.0,60,15.27,59.83,C,C4,1,RENT,30000.0,Source Verified,Dec-11,Charged Off,car,1.0
2400,2400,2400.0,36,15.96,84.33,C,C5,10,RENT,12252.0,Not Verified,Dec-11,Fully Paid,small_business,8.72
10000,10000,10000.0,36,13.49,339.31,C,C1,10,RENT,49200.0,Source Verified,Dec-11,Fully Paid,other,20.0
3000,3000,3000.0,60,12.69,67.79,B,B5,1,RENT,80000.0,Source Verified,Dec-11,Current,other,17.94
5000,5000,5000.0,36,7.9,156.46,A,A4,3,RENT,36000.0,Source Verified,Dec-11,Fully Paid,wedding,11.2
7000,7000,7000.0,60,15.96,170.08,C,C5,8,RENT,47004.0,Not Verified,Dec-11,Fully Paid,debt_consolidation,23.51
3000,3000,3000.0,36,18.64,109.43,E,E1,9,RENT,48000.0,Source Verified,Dec-11,Fully Paid,car,5.35
5600,5600,5600.0,60,21.28,152.39,F,F2,4,OWN,40000.0,Source Verified,Dec-11,Charged Off,small_business,5.55
5375,5375,5350.0,60,12.69,121.45,B,B5,1,RENT,15000.0,Verified,Dec-11,Charged Off,other,18.08
6500,6500,6500.0,60,14.65,153.45,C,C3,5,OWN,72000.0,Not Verified,Dec-11,Fully Paid,debt_consolidation,16.12
12000,12000,12000.0,36,12.69,402.54,B,B5,10,OWN,75000.0,Source Verified,Dec-11,Fully Paid,debt_consolidation,10.78
9000,9000,9000.0,36,13.49,305.38,C,C1,1,RENT,30000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,10.08
3000,3000,3000.0,36,9.91,96.68,B,B1,3,RENT,15000.0,Source Verified,Dec-11,Fully Paid,credit_card,12.56
10000,10000,10000.0,36,10.65,325.74,B,B2,3,RENT,100000.0,Source Verified,Dec-11,Charged Off,other,7.06
1000,1000,1000.0,36,16.29,35.31,D,D1,1,RENT,28000.0,Not Verified,Dec-11,Fully Paid,debt_consolidation,20.31
10000,10000,10000.0,36,15.27,347.98,C,C4,4,RENT,42000.0,Not Verified,Dec-11,Fully Paid,home_improvement,18.6
